cost_id,pdsi_id,initial_forecast_2016
1,3,267507.31
1,5,191367.19
1,1,191747.94
1,4,556058.70
1,6,746023.37
1,30,184335.14
1,18,389790.46
1,21,211096.60
1,22,342123.03
1,24,250067.34
1,7,233752.22
1,9,391740.67
1,10,324043.21
1,19,491940.66
1,23,207895.99
1,20,918092.60
1,8,110187.68
1,14,160086.52
1,11,159511.17
1,32,297130.50
1,33,167570.28
1,2,126643.22
1,12,196335.45
1,15,128565.70
1,28,237628.19
1,27,197035.97
1,25,625132.99
1,17,170299.24
1,26,238902.06
1,31,176688.12
1,16,645397.17
1,34,380494.56
1,13,640468.87
1,29,201139.89
2,3,0
2,5,48529.00
2,1,2316463.21
2,4,0
2,6,0
2,30,0
2,18,260969.00
2,21,55000.00
2,22,10000.00
2,24,202950.00
2,7,80000.00
2,9,1743650.00
2,10,0
2,19,4069646.86
2,23,345925.00
2,20,1451090.07
2,8,205423.43
2,14,186238.16
2,11,207759.69
2,32,50000.00
2,33,66040.00
2,2,1516000.00
2,12,50000.00
2,15,893794.00
2,28,461884.98
2,27,80000.00
2,25,1665607.38
2,17,2705290.46
2,26,739274.00
2,31,43601.13
2,16,1346700.00
2,34,408966.72
2,13,2941522.40
2,29,894276.57
3,3,50000.00
3,5,100000.00
3,1,100000.00
3,4,50000.00
3,6,50000.00
3,30,70000.00
3,18,120000.00
3,21,100000.00
3,22,100000.00
3,24,50000.00
3,7,100000.00
3,9,100000.00
3,10,100000.00
3,19,150000.00
3,23,110000.00
3,20,150000.00
3,8,50000.00
3,14,50000.00
3,11,100000.00
3,32,100000.00
3,33,100000.00
3,2,10000.00
3,12,900000.00
3,15,50000.00
3,28,100000.00
3,27,100000.00
3,25,150000.00
3,17,120000.00
3,26,120000.00
3,31,100000.00
3,16,150000.00
3,34,100000.00
3,13,100000.00
3,29,100000.00
4,3,37814.35
4,5,32412.30
4,1,0
4,4,48618.45
4,6,32412.30
4,30,43216.40
4,18,10804.10
4,21,37814.35
4,22,32412.30
4,24,43216.40
4,7,32412.30
4,9,0
4,10,0
4,19,0
4,23,0
4,20,0
4,8,0
4,14,16206.15
4,11,0
4,32,10804.10
4,33,21608.20
4,2,32412.30
4,12,32412.30
4,15,75628.70
4,28,91834.85
4,27,0
4,25,64824.60
4,17,32412.30
4,26,0
4,31,0
4,16,0
4,34,10804.10
4,13,0
4,29,5402.05
5,3,262500.00
5,5,262500.00
5,1,630000.00
5,4,567000.00
5,6,333900.00
5,30,181650.00
5,18,476809.20
5,21,63000.00
5,22,618410.10
5,24,441000.00
5,7,661500.00
5,9,1080450.00
5,10,605127.17
5,19,1207500.00
5,23,630000.00
5,20,315000.00
5,8,578550.00
5,14,257250.00
5,11,460950.00
5,32,110250.00
5,33,178500.00
5,2,106050.00
5,12,315000.00
5,15,203700.00
5,28,287700.00
5,27,284550.00
5,25,1226400.00
5,17,396900.00
5,26,367500.00
5,31,312900.00
5,16,945000.00
5,34,943438.30
5,13,474600.00
5,29,622650.00
6,3,16891190.65
6,5,14451955.15
6,1,14381431.91
6,4,29359016.30
6,6,40099834.23
6,30,18027483.66
6,18,25770295.83
6,21,18365185.14
6,22,23183178.79
6,24,16764910.50
6,7,0
6,9,28195303.44
6,10,18467916.40
6,19,31147714.33
6,23,28870332.34
6,20,47330284.25
6,8,9621831.96
6,14,11807766.75
6,11,17546813.84
6,32,21844233.52
6,33,16318051.67
6,2,9390142.79
6,12,21736523.85
6,15,13582683.21
6,28,19857091.44
6,27,10537678.51
6,25,29605240.88
6,17,29435124.37
6,26,22971041.80
6,31,20138894.62
6,16,48726976.44
6,34,41229676.46
6,13,38910550.44
6,29,17987931.24
7,3,530846.03
7,5,491915.54
7,1,328583.12
7,4,960212.00
7,6,1838299.83
7,30,220765.54
7,18,1575688.74
7,21,330704.39
7,22,984936.31
7,24,592811.52
7,7,357709.83
7,9,999664.38
7,10,640391.48
7,19,1245624.48
7,23,901802.57
7,20,2856889.77
7,8,192880.76
7,14,459854.89
7,11,394262.42
7,32,830818.05
7,33,232432.64
7,2,298070.19
7,12,472285.88
7,15,554552.67
7,28,605842.67
7,27,380436.73
7,25,1148736.30
7,17,657809.75
7,26,422612.10
7,31,273824.61
7,16,1450505.31
7,34,1557754.28
7,13,1131933.71
7,29,944509.85
8,5,0
8,1,0
8,4,0
8,6,0
8,30,0
8,18,0
8,21,0
8,22,0
8,24,0
8,7,0
8,9,0
8,10,0
8,19,0
8,23,0
8,20,0
8,8,0
8,14,0
8,11,0
8,32,0
8,33,0
8,2,0
8,12,0
8,15,0
8,28,0
8,27,0
8,25,0
8,17,0
8,26,0
8,31,0
8,16,0
8,34,0
8,13,0
8,29,0
9,3,1663830.00
9,5,1292760.00
9,1,999495.00
9,4,2495745.00
9,6,2537640.00
9,30,1574055.00
9,18,2621430.00
9,21,1886472.00
9,22,2609460.00
9,24,1137150.00
9,7,535645.53
9,9,939645.00
9,10,718200.00
9,19,1280790.00
9,23,993510.00
9,20,1807470.00
9,8,2052855.00
9,14,1076701.50
9,11,1077300.00
9,32,1340640.00
9,33,2082780.00
9,2,849870.00
9,12,1352610.00
9,15,1726074.00
9,28,1735650.00
9,27,496755.00
9,25,706230.00
9,17,1226925.00
9,26,1723680.00
9,31,909720.00
9,16,2669310.00
9,34,1544130.00
9,13,1897245.00
9,29,1029420.00
10,5,0
10,1,0
10,4,0
10,6,0
10,30,0
10,18,0
10,21,0
10,22,0
10,24,0
10,7,0
10,9,0
10,10,0
10,19,0
10,23,0
10,20,0
10,8,0
10,14,0
10,11,0
10,32,0
10,33,0
10,2,0
10,12,0
10,15,0
10,28,0
10,27,0
10,25,0
10,17,0
10,26,0
10,31,0
10,16,0
10,34,0
10,13,0
10,29,0
11,3,753409.63
11,5,2870848.47
11,1,119700.00
11,4,1323760.20
11,6,420000.00
11,30,488250.00
11,18,3359314.56
11,21,666750.00
11,22,1660302.00
11,24,1609428.28
11,7,2236942.19
11,9,17850.00
11,10,63000.00
11,19,2119652.85
11,23,396217.50
11,20,262500.00
11,8,565366.20
11,14,1886718.75
11,11,713451.51
11,32,1983145.50
11,33,3320880.15
11,2,2103150.00
11,12,3052256.55
11,15,2532169.50
11,28,1207500.00
11,27,120813.00
11,25,331065.00
11,17,648217.50
11,26,3836992.14
11,31,1898817.40
11,16,358171.02
11,34,7446099.56
11,13,190585.50
11,29,1396762.50
12,5,0
12,1,0
12,4,0
12,6,0
12,30,0
12,18,0
12,21,0
12,22,0
12,24,0
12,7,0
12,9,0
12,10,0
12,19,0
12,23,0
12,20,0
12,8,0
12,14,0
12,11,0
12,32,0
12,33,0
12,2,0
12,12,0
12,15,0
12,28,0
12,27,0
12,25,0
12,17,0
12,26,0
12,31,0
12,16,0
12,34,0
12,13,0
12,29,0
13,5,0
13,1,0
13,4,0
13,6,0
13,30,0
13,18,0
13,21,0
13,22,0
13,24,0
13,7,0
13,9,0
13,10,0
13,19,0
13,23,0
13,20,0
13,8,0
13,14,0
13,11,0
13,32,0
13,33,0
13,2,0
13,12,0
13,15,0
13,28,0
13,27,0
13,25,0
13,17,0
13,26,0
13,31,0
13,16,0
13,34,0
13,13,0
13,29,0
14,5,0
14,1,0
14,4,0
14,6,0
14,30,0
14,18,0
14,21,0
14,22,0
14,24,0
14,7,0
14,9,0
14,10,0
14,19,0
14,23,0
14,20,0
14,8,0
14,14,0
14,11,0
14,32,0
14,33,0
14,2,0
14,12,0
14,15,0
14,28,0
14,27,0
14,25,0
14,17,0
14,26,0
14,31,0
14,16,0
14,34,0
14,13,0
14,29,0
15,3,3559500.00
15,5,1008000.00
15,1,0
15,4,0
15,6,1680000.00
15,30,6237000.00
15,18,97290.90
15,21,1953000.00
15,22,1368150.00
15,24,241500.00
15,7,5985000.00
15,9,0
15,10,0
15,19,0
15,23,0
15,20,0
15,8,277200.00
15,14,1668749.25
15,11,0
15,32,0
15,33,3150000.00
15,2,612360.00
15,12,1344597.66
15,15,0
15,28,9450000.00
15,27,0
15,25,0
15,17,0
15,26,0
15,31,0
15,16,8809952.55
15,34,28980000.00
15,13,0
15,29,0
16,5,0
16,1,0
16,4,0
16,6,0
16,30,0
16,18,0
16,21,0
16,22,0
16,24,0
16,7,0
16,9,0
16,10,0
16,19,0
16,23,0
16,20,0
16,8,0
16,14,0
16,11,0
16,32,0
16,33,0
16,2,0
16,12,0
16,15,0
16,28,0
16,27,0
16,25,0
16,17,0
16,26,0
16,31,0
16,16,0
16,34,0
16,13,0
16,29,0
17,3,0
17,5,0
17,1,9365932.80
17,4,0
17,6,0
17,30,0
17,18,0
17,21,0
17,22,0
17,24,0
17,7,0
17,9,9637874.50
17,10,5193464.43
17,19,10713768.66
17,23,1453168.00
17,20,0
17,8,6114244.50
17,14,4206107.05
17,11,10438207.14
17,32,7716625.56
17,33,3060697.25
17,2,0
17,12,5049576.00
17,15,3884076.00
17,28,0
17,27,0
17,25,2157326.67
17,17,18384298.80
17,26,6692358.46
17,31,0
17,16,14463638.21
17,34,264622.05
17,13,0
17,29,5753737.65
18,5,0
18,1,0
18,4,0
18,6,0
18,30,0
18,18,0
18,21,0
18,22,0
18,24,0
18,7,0
18,9,0
18,10,0
18,19,0
18,23,0
18,20,0
18,8,0
18,14,0
18,11,0
18,32,0
18,33,0
18,2,0
18,12,0
18,15,0
18,28,0
18,27,0
18,25,0
18,17,0
18,26,0
18,31,0
18,16,0
18,34,0
18,13,0
18,29,0
19,5,0
19,1,0
19,4,0
19,6,0
19,30,0
19,18,0
19,21,0
19,22,0
19,24,0
19,7,0
19,9,0
19,10,0
19,19,0
19,23,0
19,20,0
19,8,0
19,14,0
19,11,0
19,32,0
19,33,0
19,2,0
19,12,0
19,15,0
19,28,0
19,27,0
19,25,0
19,17,0
19,26,0
19,31,0
19,16,0
19,34,0
19,13,0
19,29,0
20,5,0
20,1,0
20,4,0
20,6,0
20,30,0
20,18,0
20,21,0
20,22,0
20,24,0
20,7,0
20,9,0
20,10,0
20,19,0
20,23,0
20,20,0
20,8,0
20,14,0
20,11,0
20,32,0
20,33,0
20,2,0
20,12,0
20,15,0
20,28,0
20,27,0
20,25,0
20,17,0
20,26,0
20,31,0
20,16,0
20,34,0
20,13,0
20,29,0
21,3,3163329.95
21,5,3309631.90
21,1,4438874.73
21,4,5759487.13
21,6,6536992.57
21,30,3905709.83
21,18,8375375.02
21,21,3095824.36
21,22,4868247.89
21,24,4585422.12
21,7,4396295.54
21,9,3457156.73
21,10,1555735.48
21,19,2116735.76
21,23,8642864.25
21,20,15190796.11
21,8,4516217.65
21,14,3459432.56
21,11,12291933.91
21,32,3318176.68
21,33,5242606.82
21,2,3382890.71
21,12,6064467.65
21,15,4354303.21
21,28,4425935.99
21,27,2575522.06
21,25,5700206.44
21,17,5881196.24
21,26,3142604.43
21,31,6662916.81
21,16,3653931.89
21,34,7456759.61
21,13,11541613.20
21,29,4211604.22
22,5,0
22,1,0
22,4,0
22,6,0
22,30,0
22,18,0
22,21,0
22,22,0
22,24,0
22,7,0
22,9,0
22,10,0
22,19,0
22,23,0
22,20,0
22,8,0
22,14,0
22,11,0
22,32,0
22,33,0
22,2,0
22,12,0
22,15,0
22,28,0
22,27,0
22,25,0
22,17,0
22,26,0
22,31,0
22,16,0
22,34,0
22,13,0
22,29,0
23,5,0
23,1,0
23,4,0
23,6,0
23,30,0
23,18,0
23,21,0
23,22,0
23,24,0
23,7,0
23,9,0
23,10,0
23,19,0
23,23,0
23,20,0
23,8,0
23,14,0
23,11,0
23,32,0
23,33,0
23,2,0
23,12,0
23,15,0
23,28,0
23,27,0
23,25,0
23,17,0
23,26,0
23,31,0
23,16,0
23,34,0
23,13,0
23,29,0
24,5,0
24,1,0
24,4,0
24,6,0
24,30,0
24,18,0
24,21,0
24,22,0
24,24,0
24,7,0
24,9,0
24,10,0
24,19,0
24,23,0
24,20,0
24,8,0
24,14,0
24,11,0
24,32,0
24,33,0
24,2,0
24,12,0
24,15,0
24,28,0
24,27,0
24,25,0
24,17,0
24,26,0
24,31,0
24,16,0
24,34,0
24,13,0
24,29,0
25,5,0
25,1,0
25,4,0
25,6,0
25,30,0
25,18,0
25,21,0
25,22,0
25,24,0
25,7,0
25,9,0
25,10,0
25,19,0
25,23,0
25,20,0
25,8,0
25,14,0
25,11,0
25,32,0
25,33,0
25,2,0
25,12,0
25,15,0
25,28,0
25,27,0
25,25,0
25,17,0
25,26,0
25,31,0
25,16,0
25,34,0
25,13,0
25,29,0
26,5,0
26,1,0
26,4,0
26,6,0
26,30,0
26,18,0
26,21,0
26,22,0
26,24,0
26,7,0
26,9,0
26,10,0
26,19,0
26,23,0
26,20,0
26,8,0
26,14,0
26,11,0
26,32,0
26,33,0
26,2,0
26,12,0
26,15,0
26,28,0
26,27,0
26,25,0
26,17,0
26,26,0
26,31,0
26,16,0
26,34,0
26,13,0
26,29,0
27,5,0
27,1,0
27,4,0
27,6,0
27,30,0
27,18,0
27,21,0
27,22,0
27,24,0
27,7,0
27,9,0
27,10,0
27,19,0
27,23,0
27,20,0
27,8,0
27,14,0
27,11,0
27,32,0
27,33,0
27,2,0
27,12,0
27,15,0
27,28,0
27,27,0
27,25,0
27,17,0
27,26,0
27,31,0
27,16,0
27,34,0
27,13,0
27,29,0
28,5,0
28,1,0
28,4,0
28,6,0
28,30,0
28,18,0
28,21,0
28,22,0
28,24,0
28,7,0
28,9,0
28,10,0
28,19,0
28,23,0
28,20,0
28,8,0
28,14,0
28,11,0
28,32,0
28,33,0
28,2,0
28,12,0
28,15,0
28,28,0
28,27,0
28,25,0
28,17,0
28,26,0
28,31,0
28,16,0
28,34,0
28,13,0
28,29,0
29,5,0
29,1,0
29,4,0
29,6,0
29,30,0
29,18,0
29,21,0
29,22,0
29,24,0
29,7,0
29,9,0
29,10,0
29,19,0
29,23,0
29,20,0
29,8,0
29,14,0
29,11,0
29,32,0
29,33,0
29,2,0
29,12,0
29,15,0
29,28,0
29,27,0
29,25,0
29,17,0
29,26,0
29,31,0
29,16,0
29,34,0
29,13,0
29,29,0
30,3,991704.38
30,5,3092616.83
30,1,2107176.29
30,4,976004.04
30,6,1000198.50
30,30,799701.70
30,18,3486901.82
30,21,915515.35
30,22,506310.00
30,24,451600.84
30,7,1225177.23
30,9,3979373.66
30,10,1171037.95
30,19,3383269.60
30,23,2691555.62
30,20,7467687.13
30,8,1257331.52
30,14,772887.95
30,11,1295414.27
30,32,1408278.73
30,33,614444.29
30,2,746180.40
30,12,1918290.19
30,15,1926321.55
30,28,1334178.28
30,27,1728397.02
30,25,2793548.11
30,17,3668418.01
30,26,2392909.40
30,31,2044037.90
30,16,2293530.55
30,34,3216263.75
30,13,7173116.34
30,29,2052620.64